version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1011;Stadt Hagen - 1011 Volkspark;8001;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1012;Stadt Hagen - 1012 Theater;8001;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1013;Stadt Hagen - 1013 Friedrich-Ebert-Platz / Kunstquartier;8001;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1014;Stadt Hagen - 1014 Kratzkopf;8002;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1021;Stadt Hagen - 1021 Volmeaue;8003;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1022;Stadt Hagen - 1022 Funckepark;8002;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1023;Stadt Hagen - 1023 Yorckstr.;8001;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1024;Stadt Hagen - 1024 Funckestr.;8003;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1025;Stadt Hagen - 1025 Am Ischeland;8002;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1031;Stadt Hagen - 1031 Adolf- / Sedanstr.;8003;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1032;Stadt Hagen - 1032 Brink- / Altenhagener Str.;8004;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1033;Stadt Hagen - 1033 St.-Josefs-Hospital;8004;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1034;Stadt Hagen - 1034 Kinkelstraße;8006;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1041;Stadt Hagen - 1041 Zur Heide;8007;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1042;Stadt Hagen - 1042 Alexander- / Alleestr.;8003;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1043;Stadt Hagen - 1043 Ginsterheide;8007;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1044;Stadt Hagen - 1044 Polizeipräsidium;8006;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1051;Stadt Hagen - 1051 Höing;8008;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1052;Stadt Hagen - 1052 Fleyer Str.;8008;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1053;Stadt Hagen - 1053 Tondernsiedlung;8005;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1054;Stadt Hagen - 1054 Lützowstr.;8009;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1055;Stadt Hagen - 1055 Bredelle;8010;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1061;Stadt Hagen - 1061 Walddorfstr.;8005;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1062;Stadt Hagen - 1062 Ascherothstr.;8005;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
0.3;05914000;26.09.2021;Bundestagswahl;05914000;Stadt Hagen;;;;;138;138 Hagen - Ennepe-Ruhr-Kreis I;Hagen-Mitte;Hagen-Mitte;1063;Stadt Hagen - 1063 Boloh;8004;W;;138;138 Hagen - Ennepe-Ruhr-Kreis I;138;138 Hagen - Ennepe-Ruhr-Kreis I
